Age,Gender,Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Churn
62,Male,5,74.44,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
20,Male,26,40.34,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
46,Male,34,53.82,Month-to-Month,Fiber Optic,No,Credit Card,Yes
60,Male,2,93.4,Month-to-Month,Fiber Optic,No,Credit Card,Yes
22,Female,35,19.96,One Year,Fiber Optic,No,Bank Transfer,No
36,Female,65,94.85,Month-to-Month,DSL,No,Electronic Check,Yes
68,Male,12,74.88,One Year,DSL,No,Bank Transfer,No
54,Male,15,62.46,Two Year,DSL,No,Credit Card,No
68,Female,70,91.63,Month-to-Month,DSL,No,Mailed Check,Yes
40,Female,21,21.31,Two Year,Fiber Optic,No,Electronic Check,Yes
66,Male,67,115.67,One Year,Fiber Optic,No,Credit Card,No
45,Female,43,105.11,Month-to-Month,Fiber Optic,No,Credit Card,Yes
67,Male,67,112.11,Month-to-Month,DSL,No,Credit Card,Yes
59,Male,24,48.14,One Year,DSL,Yes,Credit Card,No
45,Female,6,40.95,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
29,Female,48,32.21,One Year,Fiber Optic,Yes,Electronic Check,No
31,Male,1,118.09,Month-to-Month,DSL,No,Bank Transfer,No
25,Male,57,105.49,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
29,Male,20,66.31,Month-to-Month,DSL,Yes,Electronic Check,No
38,Female,46,72.35,Month-to-Month,DSL,No,Bank Transfer,Yes
21,Male,7,75.6,Two Year,Fiber Optic,No,Electronic Check,No
37,Male,24,56.24,One Year,DSL,No,Credit Card,No
27,Female,34,87.03,Month-to-Month,DSL,Yes,Credit Card,No
46,Male,13,60.61,Two Year,DSL,No,Electronic Check,Yes
21,Female,62,81.37,Month-to-Month,Fiber Optic,Yes,Mailed Check,No
65,Female,44,39.18,One Year,Fiber Optic,No,Credit Card,Yes
71,Male,43,64.77,One Year,DSL,Yes,Bank Transfer,No
38,Male,16,90.55,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
53,Male,14,14.8,Two Year,DSL,Yes,Mailed Check,No
69,Female,54,12.7,Month-to-Month,DSL,No,Bank Transfer,Yes
