iter	Logloss
0	0.6903135757
1	0.687495285
2	0.6847751961
3	0.6820617409
4	0.6794622765
5	0.6768793259
6	0.67435355
7	0.6718493538
8	0.6693803101
9	0.6670149841
10	0.6646719017
11	0.6623921394
12	0.6601430702
13	0.6579368057
14	0.6557910194
15	0.6536725693
16	0.6515419502
17	0.6495043564
18	0.6474965057
19	0.6455368729
20	0.6436097908
21	0.641681797
22	0.6397766647
23	0.6379064178
24	0.6360298767
25	0.6342611809
26	0.6324759483
27	0.63071315
28	0.6289929466
29	0.6273297997
30	0.6256956291
31	0.6241070099
32	0.6224901314
33	0.6209413605
34	0.6193864861
35	0.6178924255
36	0.6163694077
37	0.6148703804
38	0.6134440842
39	0.6120493355
40	0.6106143417
41	0.609257267
42	0.6078648262
43	0.6065190506
44	0.6052000885
45	0.6039019127
46	0.6026588478
47	0.6013934288
48	0.6001380081
49	0.5990473137
50	0.5978799057
51	0.5966820869
52	0.5955486259
53	0.5943936005
54	0.5932971878
55	0.5922185822
56	0.5911688042
57	0.590069355
58	0.589017868
59	0.5879901772
60	0.5869493599
61	0.5859731522
62	0.5850079346
63	0.5840580139
64	0.5830816193
65	0.582121769
66	0.5811669464
67	0.5802780342
68	0.5794008522
69	0.5785378609
70	0.5776379929
71	0.5767524147
72	0.5758884163
73	0.5750624619
74	0.5742275467
75	0.5734037552
76	0.5726098938
77	0.5718097572
78	0.5710610046
79	0.5703321915
80	0.5695641708
81	0.5688338661
82	0.5681309967
83	0.5674410934
84	0.5667314987
85	0.5660646858
86	0.5653509369
87	0.5646490288
88	0.5639738464
89	0.5633496323
90	0.5627342453
91	0.5621027946
92	0.5615055237
93	0.5609081841
94	0.5602767639
95	0.5596538887
96	0.5590472488
97	0.5585451431
98	0.5579929771
99	0.5574506149
