iter	Passed	Remaining
0	113	11281
1	116	5687
2	118	3819
3	120	2886
4	122	2323
5	124	1950
6	126	1681
7	128	1479
8	130	1320
9	132	1192
10	134	1085
11	136	998
12	137	923
13	139	858
14	141	800
15	143	752
16	145	708
17	146	669
18	148	633
19	150	601
20	151	571
21	153	544
22	155	519
23	156	496
24	158	475
25	160	456
26	162	438
27	163	421
28	165	405
29	166	389
30	168	374
31	169	361
32	171	348
33	173	336
34	175	325
35	177	314
36	178	304
37	180	294
38	182	284
39	183	275
40	185	267
41	187	258
42	189	250
43	190	242
44	192	235
45	194	228
46	196	221
47	197	214
48	199	207
49	201	201
50	203	195
51	204	189
52	206	183
53	208	177
54	209	171
55	211	166
56	213	160
57	215	155
58	216	150
59	218	145
60	220	140
61	222	136
62	223	131
63	225	126
64	227	122
65	229	118
66	230	113
67	232	109
68	234	105
69	236	101
70	237	97
71	239	93
72	241	89
73	243	85
74	244	81
75	246	77
76	248	74
77	250	70
78	251	66
79	253	63
80	254	59
81	256	56
82	258	52
83	259	49
84	261	46
85	263	42
86	265	39
87	267	36
88	268	33
89	270	30
90	272	26
91	274	23
92	276	20
93	277	17
94	279	14
95	281	11
96	283	8
97	285	5
98	286	2
99	288	0
