CustomerID,Age,Gender,Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Churn
1,56,Female,22,25.6,Two Year,DSL,Yes,Bank Transfer,No
2,69,Male,49,50.79,Month-to-Month,DSL,No,Mailed Check,Yes
3,46,Male,28,87.8,One Year,No,No,Bank Transfer,No
4,32,Male,16,99.87,Two Year,DSL,No,Bank Transfer,No
5,60,Female,68,104.86,Month-to-Month,DSL,No,Credit Card,Yes
6,25,Male,62,68.35,One Year,Fiber Optic,No,Mailed Check,Yes
7,38,Male,36,62.35,Month-to-Month,No,No,Electronic Check,Yes
8,56,Male,22,103.31,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
9,36,Male,11,71.94,Month-to-Month,DSL,No,Credit Card,Yes
10,40,Female,42,73.65,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
11,28,Female,55,57.74,Month-to-Month,DSL,No,Bank Transfer,Yes
12,28,Female,35,51.01,One Year,DSL,Yes,Electronic Check,No
13,41,Female,57,62.86,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
14,70,Male,34,50.13,One Year,Fiber Optic,No,Bank Transfer,Yes
15,53,Male,70,47.79,Month-to-Month,DSL,No,Mailed Check,Yes
16,57,Male,4,119.3,One Year,Fiber Optic,Yes,Bank Transfer,No
17,41,Male,46,46.98,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
18,20,Male,11,38.2,Month-to-Month,Fiber Optic,No,Credit Card,No
19,39,Male,61,48.93,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
20,70,Female,35,74.99,Two Year,Fiber Optic,Yes,Bank Transfer,No
21,19,Male,69,110.21,Month-to-Month,Fiber Optic,No,Credit Card,Yes
22,41,Male,57,96.67,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
23,61,Male,11,102.65,Month-to-Month,DSL,Yes,Bank Transfer,No
24,47,Female,12,104.49,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
25,55,Male,43,111.26,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
26,19,Male,19,35.86,Month-to-Month,Fiber Optic,No,Credit Card,Yes
27,38,Male,68,60.42,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
28,50,Female,59,52.37,One Year,DSL,Yes,Bank Transfer,No
29,29,Male,2,52.01,Month-to-Month,Fiber Optic,Yes,Credit Card,No
30,39,Male,8,81.75,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
31,61,Female,22,54.2,One Year,DSL,Yes,Mailed Check,No
32,42,Male,21,77.8,Month-to-Month,DSL,Yes,Bank Transfer,No
33,66,Female,29,52.05,Month-to-Month,Fiber Optic,No,Credit Card,No
34,44,Male,37,44.22,One Year,Fiber Optic,No,Mailed Check,No
35,59,Female,29,48.84,Month-to-Month,Fiber Optic,Yes,Mailed Check,No
36,45,Male,37,98.41,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
37,33,Male,21,76.12,One Year,DSL,No,Electronic Check,No
38,32,Female,12,117.14,Two Year,DSL,No,Credit Card,No
39,64,Male,48,101.59,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
40,68,Male,47,63.44,Two Year,Fiber Optic,No,Bank Transfer,Yes
41,61,Female,15,36.66,Month-to-Month,DSL,No,Bank Transfer,Yes
42,72,Male,67,84.13,Month-to-Month,Fiber Optic,Yes,Bank Transfer,No
43,69,Female,13,89.93,Two Year,DSL,No,Electronic Check,Yes
44,74,Male,59,61.06,Two Year,DSL,No,Credit Card,No
45,20,Female,13,35.29,Month-to-Month,Fiber Optic,No,Credit Card,Yes
46,54,Male,19,71.3,Month-to-Month,Fiber Optic,No,Credit Card,Yes
47,68,Male,57,37.92,Two Year,DSL,No,Electronic Check,Yes
48,24,Female,32,113.4,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
49,38,Male,21,79.18,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
50,26,Female,14,42.11,Two Year,Fiber Optic,No,Credit Card,No
51,56,Female,24,33.73,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
52,35,Female,49,88.84,One Year,DSL,No,Credit Card,Yes
53,21,Male,32,87.86,Month-to-Month,Fiber Optic,No,Credit Card,Yes
54,42,Male,11,75.68,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
55,31,Male,60,77.57,Month-to-Month,No,Yes,Mailed Check,Yes
56,67,Female,68,76.43,Month-to-Month,DSL,No,Electronic Check,Yes
57,26,Female,61,49.61,Month-to-Month,No,No,Credit Card,Yes
58,43,Female,5,113.12,One Year,DSL,No,Credit Card,Yes
59,70,Male,36,62.72,One Year,DSL,No,Bank Transfer,Yes
60,19,Female,64,12.24,One Year,DSL,No,Mailed Check,No
61,37,Male,32,48.32,One Year,No,Yes,Electronic Check,No
62,45,Male,71,24.33,Month-to-Month,DSL,No,Electronic Check,No
63,64,Male,66,49.97,Two Year,Fiber Optic,Yes,Electronic Check,No
64,24,Male,10,76.91,Month-to-Month,DSL,No,Credit Card,Yes
65,61,Male,21,12.49,Month-to-Month,DSL,Yes,Electronic Check,Yes
66,25,Male,40,105.72,One Year,Fiber Optic,No,Electronic Check,Yes
67,64,Male,42,77.13,Month-to-Month,Fiber Optic,No,Credit Card,Yes
68,52,Male,46,42.49,Month-to-Month,DSL,No,Credit Card,Yes
69,31,Female,41,44.23,Two Year,Fiber Optic,No,Bank Transfer,No
70,34,Male,4,61.22,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
71,53,Male,14,37.29,One Year,DSL,No,Electronic Check,No
72,67,Female,14,10.48,Two Year,No,No,Bank Transfer,No
73,57,Female,53,12.92,Two Year,Fiber Optic,Yes,Credit Card,No
74,21,Female,29,49.35,Month-to-Month,No,No,Electronic Check,No
75,19,Female,23,23.66,Month-to-Month,DSL,Yes,Credit Card,Yes
76,23,Male,31,12.46,One Year,DSL,No,Electronic Check,No
77,71,Female,71,104.52,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
78,59,Female,61,40.16,Month-to-Month,Fiber Optic,No,Mailed Check,No
79,21,Female,23,65.34,Month-to-Month,DSL,Yes,Electronic Check,No
80,71,Female,8,29.73,Month-to-Month,DSL,No,Bank Transfer,No
81,46,Male,16,15.14,One Year,Fiber Optic,Yes,Electronic Check,No
82,35,Female,26,91.94,Two Year,DSL,No,Mailed Check,No
83,43,Female,29,23.75,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
84,61,Female,6,12.83,Month-to-Month,DSL,No,Credit Card,Yes
85,51,Female,37,74.6,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
86,27,Male,33,11.48,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
87,53,Female,46,57.99,Month-to-Month,DSL,No,Electronic Check,Yes
88,31,Female,61,41.77,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
89,48,Female,41,45.14,Two Year,DSL,No,Mailed Check,No
90,65,Male,18,10.43,One Year,Fiber Optic,No,Credit Card,No
91,32,Female,16,116.08,Month-to-Month,DSL,No,Mailed Check,Yes
92,25,Female,51,66.87,One Year,DSL,No,Bank Transfer,No
93,31,Male,37,72.98,Month-to-Month,Fiber Optic,No,Bank Transfer,No
94,40,Female,14,83.27,One Year,Fiber Optic,No,Credit Card,Yes
